head,relation,tail,template_id,template
pair,cardinality of this set,೨,0,[X] has [REL] as [Y].
೨,cardinality of this set,pair,1,[X] is [REL] of [Y].
Delta (2008 film),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,Delta (2008 film),1,[X] is [REL] of [Y].
hounds of love (film),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,hounds of love (film),1,[X] is [REL] of [Y].
A Cure for Wellness (2016),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,A Cure for Wellness (2016),1,[X] is [REL] of [Y].
neon demon,BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,neon demon,1,[X] is [REL] of [Y].
mademoiselle,BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,mademoiselle,1,[X] is [REL] of [Y].
"édes emma, drága böbe",BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,"édes emma, drága böbe",1,[X] is [REL] of [Y].
50 shades darker,BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,50 shades darker,1,[X] is [REL] of [Y].
Egymasra nezve,BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,Egymasra nezve,1,[X] is [REL] of [Y].
Volhynia (film),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,Volhynia (film),1,[X] is [REL] of [Y].
t2 trainspotting,BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,t2 trainspotting,1,[X] is [REL] of [Y].
wheels (2014 film),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,wheels (2014 film),1,[X] is [REL] of [Y].
headshot (2016 film),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,headshot (2016 film),1,[X] is [REL] of [Y].
list of awards and nominations received by elle (film),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,list of awards and nominations received by elle (film),1,[X] is [REL] of [Y].
gun: magruder's ghost,BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,gun: magruder's ghost,1,[X] is [REL] of [Y].
City of Ghosts (2017 film),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,City of Ghosts (2017 film),1,[X] is [REL] of [Y].
aquarius (brazilian film),BBFC rating,18 certificate (united kingdom),0,[X] has [REL] as [Y].
18 certificate (united kingdom),BBFC rating,aquarius (brazilian film),1,[X] is [REL] of [Y].
ruby o'donnell,character role,Peri Lomax,31,[X] is [REL] acted by [Y].
Peri Lomax,character role,ruby o'donnell,30,[X] plays [REL] of [Y].
millie bobby brown,character role,Alice (Alice's Adventures in Wonderland),31,[X] is [REL] acted by [Y].
Alice (Alice's Adventures in Wonderland),character role,millie bobby brown,30,[X] plays [REL] of [Y].
millie bobby brown,character role,11,31,[X] is [REL] acted by [Y].
11,character role,millie bobby brown,30,[X] plays [REL] of [Y].
descendants 2 (original tv movie soundtrack),character role,Bobby Moynihan,31,[X] is [REL] acted by [Y].
Bobby Moynihan,character role,descendants 2 (original tv movie soundtrack),30,[X] plays [REL] of [Y].
mark boleat,elected in,"City of London Corporation election, 2017",8,[X] happens [REL] in [Y].
"City of London Corporation election, 2017",elected in,mark boleat,9,[X] witness [REL] happening of [Y].
7th Russian State Duma,elected in,2016 russian parliamentary elections,8,[X] happens [REL] in [Y].
2016 russian parliamentary elections,elected in,7th Russian State Duma,9,[X] witness [REL] happening of [Y].
Star clock,based on heuristic,P:ASTRO,14,[X] is [REL] by [Y].
P:ASTRO,based on heuristic,Star clock,15,[X] [REL] [Y].
vmsplice() exploit,protocol,IP Protocol,15,[X] [REL] [Y].
IP Protocol,protocol,vmsplice() exploit,14,[X] is [REL] by [Y].
pc-eudora,protocol,Secure SMTP,15,[X] [REL] [Y].
Secure SMTP,protocol,pc-eudora,14,[X] is [REL] by [Y].
vmsplice() exploit,protocol,a6 record,15,[X] [REL] [Y].
a6 record,protocol,vmsplice() exploit,14,[X] is [REL] by [Y].
vmsplice() exploit,protocol,Datagram Congestion Control Protocol,15,[X] [REL] [Y].
Datagram Congestion Control Protocol,protocol,vmsplice() exploit,14,[X] is [REL] by [Y].
vmsplice() exploit,protocol,SCTP/IP,15,[X] [REL] [Y].
SCTP/IP,protocol,vmsplice() exploit,14,[X] is [REL] by [Y].
pc-eudora,protocol,IMAP server,15,[X] [REL] [Y].
IMAP server,protocol,pc-eudora,14,[X] is [REL] by [Y].
vmsplice() exploit,protocol,universal datagram protocol,15,[X] [REL] [Y].
universal datagram protocol,protocol,vmsplice() exploit,14,[X] is [REL] by [Y].
kippo,protocol,Secure Shell Host,15,[X] [REL] [Y].
Secure Shell Host,protocol,kippo,14,[X] is [REL] by [Y].
vmsplice() exploit,protocol,IPv4 packet,15,[X] [REL] [Y].
IPv4 packet,protocol,vmsplice() exploit,14,[X] is [REL] by [Y].
vmsplice() exploit,protocol,Tcp protocol,15,[X] [REL] [Y].
Tcp protocol,protocol,vmsplice() exploit,14,[X] is [REL] by [Y].
The Holy Trinity (The Grand Tour),guest of honor,jeremy renner,0,[X] has [REL] as [Y].
jeremy renner,guest of honor,The Holy Trinity (The Grand Tour),1,[X] is [REL] of [Y].
The Holy Trinity (The Grand Tour),guest of honor,elizabeth chambers (host),0,[X] has [REL] as [Y].
elizabeth chambers (host),guest of honor,The Holy Trinity (The Grand Tour),1,[X] is [REL] of [Y].
conjose ii,guest of honor,camellia gabor,0,[X] has [REL] as [Y].
camellia gabor,guest of honor,conjose ii,1,[X] is [REL] of [Y].
MidAmeriCon II,guest of honor,synners,0,[X] has [REL] as [Y].
synners,guest of honor,MidAmeriCon II,1,[X] is [REL] of [Y].
The Holy Trinity (The Grand Tour),guest of honor,An Emotional Time,0,[X] has [REL] as [Y].
An Emotional Time,guest of honor,The Holy Trinity (The Grand Tour),1,[X] is [REL] of [Y].
MidAmeriCon II,guest of honor,Tortallan Fiefs,0,[X] has [REL] as [Y].
Tortallan Fiefs,guest of honor,MidAmeriCon II,1,[X] is [REL] of [Y].
The Holy Trinity (The Grand Tour),guest of honor,chris goodwin,0,[X] has [REL] as [Y].
chris goodwin,guest of honor,The Holy Trinity (The Grand Tour),1,[X] is [REL] of [Y].
MidAmeriCon II,guest of honor,making light,0,[X] has [REL] as [Y].
making light,guest of honor,MidAmeriCon II,1,[X] is [REL] of [Y].
The Holy Trinity (The Grand Tour),guest of honor,jérôme d'ambrosio,0,[X] has [REL] as [Y].
jérôme d'ambrosio,guest of honor,The Holy Trinity (The Grand Tour),1,[X] is [REL] of [Y].
Worldcon 2017,guest of honor,claire wendling,0,[X] has [REL] as [Y].
claire wendling,guest of honor,Worldcon 2017,1,[X] is [REL] of [Y].
MidAmeriCon II,guest of honor,patrick nielsen-hayden,0,[X] has [REL] as [Y].
patrick nielsen-hayden,guest of honor,MidAmeriCon II,1,[X] is [REL] of [Y].
Worldcon 2017,guest of honor,nalo hopkinson,0,[X] has [REL] as [Y].
nalo hopkinson,guest of honor,Worldcon 2017,1,[X] is [REL] of [Y].
MidAmeriCon II,guest of honor,Kinuko Y. Craft,0,[X] has [REL] as [Y].
Kinuko Y. Craft,guest of honor,MidAmeriCon II,1,[X] is [REL] of [Y].
The Holy Trinity (The Grand Tour),guest of honor,Carol Voderman,0,[X] has [REL] as [Y].
Carol Voderman,guest of honor,The Holy Trinity (The Grand Tour),1,[X] is [REL] of [Y].
conjose ii,guest of honor,spider robinson,0,[X] has [REL] as [Y].
spider robinson,guest of honor,conjose ii,1,[X] is [REL] of [Y].
Worldcon 2017,guest of honor,John-Henri Holmberg,0,[X] has [REL] as [Y].
John-Henri Holmberg,guest of honor,Worldcon 2017,1,[X] is [REL] of [Y].
Ἀθήνη,iconographic symbol,Conical helmet,0,[X] has [REL] as [Y].
Conical helmet,iconographic symbol,Ἀθήνη,1,[X] is [REL] of [Y].
-zeus-,iconographic symbol,Bull worship,0,[X] has [REL] as [Y].
Bull worship,iconographic symbol,-zeus-,1,[X] is [REL] of [Y].
thonar,iconographic symbol,birmingham screwdriver,0,[X] has [REL] as [Y].
birmingham screwdriver,iconographic symbol,thonar,1,[X] is [REL] of [Y].
-zeus-,iconographic symbol,cyclobalanopsis,0,[X] has [REL] as [Y].
cyclobalanopsis,iconographic symbol,-zeus-,1,[X] is [REL] of [Y].
-zeus-,iconographic symbol,harpy (zoology),0,[X] has [REL] as [Y].
harpy (zoology),iconographic symbol,-zeus-,1,[X] is [REL] of [Y].
poseidon (mythology),iconographic symbol,Poseidon's trident,0,[X] has [REL] as [Y].
Poseidon's trident,iconographic symbol,poseidon (mythology),1,[X] is [REL] of [Y].
st. catherine of alexandria,iconographic symbol,wheel-less,0,[X] has [REL] as [Y].
wheel-less,iconographic symbol,st. catherine of alexandria,1,[X] is [REL] of [Y].
ami banglay gaan gai,iconographic symbol,National flag of Bangladesh,0,[X] has [REL] as [Y].
National flag of Bangladesh,iconographic symbol,ami banglay gaan gai,1,[X] is [REL] of [Y].
kabardian verbs,category combines topics,Doing word,0,[X] has [REL] as [Y].
Doing word,category combines topics,kabardian verbs,1,[X] is [REL] of [Y].
Democratic and Republican Left,parliamentary term,13th Legislature (France),23,[X] won the [REL] in [Y].
13th Legislature (France),parliamentary term,Democratic and Republican Left,22,[X] saw the [REL] to [Y].
"radical, republican, democratic and progressist",parliamentary term,14th legislature of the french fifth republic,23,[X] won the [REL] in [Y].
14th legislature of the french fifth republic,parliamentary term,"radical, republican, democratic and progressist",22,[X] saw the [REL] to [Y].
Democratic and Republican Left,parliamentary term,15th National Assembly of France,23,[X] won the [REL] in [Y].
15th National Assembly of France,parliamentary term,Democratic and Republican Left,22,[X] saw the [REL] to [Y].
Democratic and Republican Left,parliamentary term,14th legislature of the french fifth republic,23,[X] won the [REL] in [Y].
14th legislature of the french fifth republic,parliamentary term,Democratic and Republican Left,22,[X] saw the [REL] to [Y].
La République En Marche! group,parliamentary term,15th National Assembly of France,23,[X] won the [REL] in [Y].
15th National Assembly of France,parliamentary term,La République En Marche! group,22,[X] saw the [REL] to [Y].
Nsaum75/Rafael Cardoso,eye color,nickel mining in bc,0,[X] has [REL] as [Y].
nickel mining in bc,eye color,Nsaum75/Rafael Cardoso,1,[X] is [REL] of [Y].
jimmy morales,eye color,coffee (colour),0,[X] has [REL] as [Y].
coffee (colour),eye color,jimmy morales,1,[X] is [REL] of [Y].
sanaya irani,eye color,"hazel green, al",0,[X] has [REL] as [Y].
"hazel green, al",eye color,sanaya irani,1,[X] is [REL] of [Y].
sollicitudo omnium ecclesiarum,repeals,dominus ac redemptor,15,[X] [REL] [Y].
dominus ac redemptor,repeals,sollicitudo omnium ecclesiarum,14,[X] is [REL] by [Y].
United States Constitution/Amendment Twenty-one,repeals,eighteenth amendment to the constitution of the united states,15,[X] [REL] [Y].
eighteenth amendment to the constitution of the united states,repeals,United States Constitution/Amendment Twenty-one,14,[X] is [REL] by [Y].
"Don't Ask, Don't Tell Repeal Act of 2010",repeals,"don’t ask, don’t tell",15,[X] [REL] [Y].
"don’t ask, don’t tell",repeals,"Don't Ask, Don't Tell Repeal Act of 2010",14,[X] is [REL] by [Y].
General Data Protection Regulation,repeals,directive 95/46/ec,15,[X] [REL] [Y].
directive 95/46/ec,repeals,General Data Protection Regulation,14,[X] is [REL] by [Y].
evernote,chief operating officer,Linda Findley Kozlowski,0,[X] has [REL] as [Y].
Linda Findley Kozlowski,chief operating officer,evernote,1,[X] is [REL] of [Y].
nintendo president,chief operating officer,I feel just like a purple Pikmin,0,[X] has [REL] as [Y].
I feel just like a purple Pikmin,chief operating officer,nintendo president,1,[X] is [REL] of [Y].
rj reynolds tobacco company,chief operating officer,Debra Ann Crew,0,[X] has [REL] as [Y].
Debra Ann Crew,chief operating officer,rj reynolds tobacco company,1,[X] is [REL] of [Y].
Duck Commander,chief operating officer,Jase Robertson,0,[X] has [REL] as [Y].
Jase Robertson,chief operating officer,Duck Commander,1,[X] is [REL] of [Y].
gsjbw,chief operating officer,D.J. D-Sol,0,[X] has [REL] as [Y].
D.J. D-Sol,chief operating officer,gsjbw,1,[X] is [REL] of [Y].
gsjbw,chief operating officer,Harvey Schwartz,0,[X] has [REL] as [Y].
Harvey Schwartz,chief operating officer,gsjbw,1,[X] is [REL] of [Y].
Yummly,chief operating officer,Brian Witlin,0,[X] has [REL] as [Y].
Brian Witlin,chief operating officer,Yummly,1,[X] is [REL] of [Y].
Aspilates abrogata,host,pārerarera,14,[X] is [REL] by [Y].
pārerarera,host,Aspilates abrogata,15,[X] [REL] [Y].
arctesthes catapyrrha,host,pārerarera,14,[X] is [REL] by [Y].
pārerarera,host,arctesthes catapyrrha,15,[X] [REL] [Y].
Pseudorhabdosynochus morrhua,host,comet grouper,14,[X] is [REL] by [Y].
comet grouper,host,Pseudorhabdosynochus morrhua,15,[X] [REL] [Y].
Geneweb,host,Institut national de recherche en informatique et en automatique,14,[X] is [REL] by [Y].
Institut national de recherche en informatique et en automatique,host,Geneweb,15,[X] [REL] [Y].
graphania insignis,host,pseudotsuga,14,[X] is [REL] by [Y].
pseudotsuga,host,graphania insignis,15,[X] [REL] [Y].
Leucochloridium paradoxum,host,succinea putris,14,[X] is [REL] by [Y].
succinea putris,host,Leucochloridium paradoxum,15,[X] [REL] [Y].
aponotoreas anthracias,host,wharekohu,14,[X] is [REL] by [Y].
wharekohu,host,aponotoreas anthracias,15,[X] [REL] [Y].
graphania insignis,host,Montery Pine,14,[X] is [REL] by [Y].
Montery Pine,host,graphania insignis,15,[X] [REL] [Y].
Premio Tiepolo,host,madrid city,14,[X] is [REL] by [Y].
madrid city,host,Premio Tiepolo,15,[X] [REL] [Y].
sbalakr2/sandbox,file format,RLE,0,[X] has [REL] as [Y].
RLE,file format,sbalakr2/sandbox,1,[X] is [REL] of [Y].
Spacer gif,file format,Giflib,0,[X] has [REL] as [Y].
Giflib,file format,Spacer gif,1,[X] is [REL] of [Y].
california blue,file format,gramophone records,0,[X] has [REL] as [Y].
gramophone records,file format,california blue,1,[X] is [REL] of [Y].
Wikimedia Foundation Travel Guide,mirrors data from,Wikitravel Press,15,[X] [REL] [Y].
Wikitravel Press,mirrors data from,Wikimedia Foundation Travel Guide,14,[X] is [REL] by [Y].
Bbc playlister,mirrors data from,Wikipediae,15,[X] [REL] [Y].
Wikipediae,mirrors data from,Bbc playlister,14,[X] is [REL] by [Y].
wikiwand.com,mirrors data from,Wikipediae,15,[X] [REL] [Y].
Wikipediae,mirrors data from,wikiwand.com,14,[X] is [REL] by [Y].
"Jouluyoe, Juhlayoe",ambitus,onzième,0,[X] has [REL] as [Y].
onzième,ambitus,"Jouluyoe, Juhlayoe",1,[X] is [REL] of [Y].
polished diamond,crystal habit,0 11 polytope,0,[X] has [REL] as [Y].
0 11 polytope,crystal habit,polished diamond,1,[X] is [REL] of [Y].
Epsomite,crystal habit,acicular crystal,0,[X] has [REL] as [Y].
acicular crystal,crystal habit,Epsomite,1,[X] is [REL] of [Y].
EV-C105,crystal habit,eicosahedron,0,[X] has [REL] as [Y].
eicosahedron,crystal habit,EV-C105,1,[X] is [REL] of [Y].
rod (biology),neurological function,Photo sensor,0,[X] has [REL] as [Y].
Photo sensor,neurological function,rod (biology),1,[X] is [REL] of [Y].
Retinal visual cells,neurological function,Photo sensor,0,[X] has [REL] as [Y].
Photo sensor,neurological function,Retinal visual cells,1,[X] is [REL] of [Y].
color receptors,neurological function,Photo sensor,0,[X] has [REL] as [Y].
Photo sensor,neurological function,color receptors,1,[X] is [REL] of [Y].
un/locode:nimga,category of associated people,Capita,0,[X] has [REL] as [Y].
Capita,category of associated people,un/locode:nimga,1,[X] is [REL] of [Y].
Co. Galway,category of associated people,Co. Galway,0,[X] has [REL] as [Y].
Co. Galway,category of associated people,Co. Galway,1,[X] is [REL] of [Y].
history of county limerick,category of associated people,history of county limerick,0,[X] has [REL] as [Y].
history of county limerick,category of associated people,history of county limerick,1,[X] is [REL] of [Y].
cagliari metropolitan city,category of associated people,cagliari metropolitan city,0,[X] has [REL] as [Y].
cagliari metropolitan city,category of associated people,cagliari metropolitan city,1,[X] is [REL] of [Y].
Chew Stoke Roman Temple,excavation director,P.A. Rahtz,0,[X] has [REL] as [Y].
P.A. Rahtz,excavation director,Chew Stoke Roman Temple,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,ettore pais,0,[X] has [REL] as [Y].
ettore pais,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,fausto zevi,0,[X] has [REL] as [Y].
fausto zevi,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,amedeo maiuri,0,[X] has [REL] as [Y].
amedeo maiuri,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,Rocque Joaquin de Alcubierre,0,[X] has [REL] as [Y].
Rocque Joaquin de Alcubierre,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,michele arditi,0,[X] has [REL] as [Y].
michele arditi,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,giuseppe fiorelli,0,[X] has [REL] as [Y].
giuseppe fiorelli,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,Pietro la Vega,0,[X] has [REL] as [Y].
Pietro la Vega,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,karl jakob weber,0,[X] has [REL] as [Y].
karl jakob weber,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
Pompeii/Comments,excavation director,Gaetano Genovese,0,[X] has [REL] as [Y].
Gaetano Genovese,excavation director,Pompeii/Comments,1,[X] is [REL] of [Y].
tylenol (brandname),has active ingredient,rivalgyl,18,[X] ’s [REL] includes [Y].
rivalgyl,has active ingredient,tylenol (brandname),3,[X] is an ingredient [REL] of [Y].
mariah carey2,highest note,G♯ (musical note),28,[X] holds the record [REL] of [Y].
G♯ (musical note),highest note,mariah carey2,29,[X] is a record [REL] given by [Y].
Tim Storms,highest note,Fisis,28,[X] holds the record [REL] of [Y].
Fisis,highest note,Tim Storms,29,[X] is a record [REL] given by [Y].
piano accordion,highest note,mi note,28,[X] holds the record [REL] of [Y].
mi note,highest note,piano accordion,29,[X] is a record [REL] given by [Y].
HD 20782,companion of,HD 20781,1,[X] is [REL] of [Y].
HD 20781,companion of,HD 20782,1,[X] is [REL] of [Y].
Z 550-6,companion of,PGC 2329,1,[X] is [REL] of [Y].
PGC 2329,companion of,Z 550-6,1,[X] is [REL] of [Y].
HD 20781,companion of,HD 20782,1,[X] is [REL] of [Y].
HD 20782,companion of,HD 20781,1,[X] is [REL] of [Y].
PGC 2329,companion of,Z 550-6,1,[X] is [REL] of [Y].
Z 550-6,companion of,PGC 2329,1,[X] is [REL] of [Y].
H and Chi Persei,companion of,h persei,1,[X] is [REL] of [Y].
h persei,companion of,H and Chi Persei,1,[X] is [REL] of [Y].
h persei,companion of,H and Chi Persei,1,[X] is [REL] of [Y].
H and Chi Persei,companion of,h persei,1,[X] is [REL] of [Y].
century gothic,metrically compatible typeface,Avant Garde Gothic,0,[X] has [REL] as [Y].
Avant Garde Gothic,metrically compatible typeface,century gothic,1,[X] is [REL] of [Y].
Arial (font),metrically compatible typeface,Hekvetica,0,[X] has [REL] as [Y].
Hekvetica,metrically compatible typeface,Arial (font),1,[X] is [REL] of [Y].
kucukdeveci v swedex,laws applied,Directive establishing a general framework for equal treatment in employment,0,[X] has [REL] as [Y].
Directive establishing a general framework for equal treatment in employment,laws applied,kucukdeveci v swedex,1,[X] is [REL] of [Y].
koh,laws applied,national technical reports library (ntrl),0,[X] has [REL] as [Y].
national technical reports library (ntrl),laws applied,koh,1,[X] is [REL] of [Y].
koh,laws applied,21 CFR,0,[X] has [REL] as [Y].
21 CFR,laws applied,koh,1,[X] is [REL] of [Y].
Miranda decision,laws applied,14th amendment to the us constitution,0,[X] has [REL] as [Y].
14th amendment to the us constitution,laws applied,Miranda decision,1,[X] is [REL] of [Y].
Miranda decision,laws applied,Fifth amendment rights,0,[X] has [REL] as [Y].
Fifth amendment rights,laws applied,Miranda decision,1,[X] is [REL] of [Y].
president of the storting,laws applied,Constitution of Norway,0,[X] has [REL] as [Y].
Constitution of Norway,laws applied,president of the storting,1,[X] is [REL] of [Y].
senmin,laws applied,ritsuryosei,0,[X] has [REL] as [Y].
ritsuryosei,laws applied,senmin,1,[X] is [REL] of [Y].
cobalt-60 (isotope),decay mode,β decay,26,[X] undergoes [REL] as [Y].
β decay,decay mode,cobalt-60 (isotope),27,[X] with [REL] generated from [Y].
plutonium 240,decay mode,alpha emission,26,[X] undergoes [REL] as [Y].
alpha emission,decay mode,plutonium 240,27,[X] with [REL] generated from [Y].
uranium-238,decay mode,alpha emission,26,[X] undergoes [REL] as [Y].
alpha emission,decay mode,uranium-238,27,[X] with [REL] generated from [Y].
possession (sports),end cause,Turnover (basketball),0,[X] has [REL] as [Y].
Turnover (basketball),end cause,possession (sports),1,[X] is [REL] of [Y].
franco-spanish war (1635-1659),end cause,Treaty of the Pyrenées,0,[X] has [REL] as [Y].
Treaty of the Pyrenées,end cause,franco-spanish war (1635-1659),1,[X] is [REL] of [Y].
possession (sports),end cause,Woodwork (football),0,[X] has [REL] as [Y].
Woodwork (football),end cause,possession (sports),1,[X] is [REL] of [Y].
super smash bros.: project m,end cause,Law (principle),0,[X] has [REL] as [Y].
Law (principle),end cause,super smash bros.: project m,1,[X] is [REL] of [Y].
Torstenson War,end cause,treaty of brömsebro (1645),0,[X] has [REL] as [Y].
treaty of brömsebro (1645),end cause,Torstenson War,1,[X] is [REL] of [Y].
possession (sports),end cause,24-second clock,0,[X] has [REL] as [Y].
24-second clock,end cause,possession (sports),1,[X] is [REL] of [Y].
pequod (ship),end cause,Foundered,0,[X] has [REL] as [Y].
Foundered,end cause,pequod (ship),1,[X] is [REL] of [Y].
battle of chamdo,end cause,agreement of the central people's government and the local government,0,[X] has [REL] as [Y].
agreement of the central people's government and the local government,end cause,battle of chamdo,1,[X] is [REL] of [Y].
🝗,by-product of,rate of combustion,1,[X] is [REL] of [Y].
rate of combustion,by-product of,🝗,0,[X] has [REL] as [Y].
Variety meat,by-product of,Animal Slaughter,1,[X] is [REL] of [Y].
Animal Slaughter,by-product of,Variety meat,0,[X] has [REL] as [Y].
glumes,by-product of,Threshing,1,[X] is [REL] of [Y].
Threshing,by-product of,glumes,0,[X] has [REL] as [Y].
Manures,by-product of,pastorlism,1,[X] is [REL] of [Y].
pastorlism,by-product of,Manures,0,[X] has [REL] as [Y].
inhaling helium,by-product of,Natural gas processing,1,[X] is [REL] of [Y].
Natural gas processing,by-product of,inhaling helium,0,[X] has [REL] as [Y].
hungry are the dead,game mechanics,d20 system,0,[X] has [REL] as [Y].
d20 system,game mechanics,hungry are the dead,1,[X] is [REL] of [Y].
Advanced Dungeons & Dragons Second Edition,game mechanics,d20 system,0,[X] has [REL] as [Y].
d20 system,game mechanics,Advanced Dungeons & Dragons Second Edition,1,[X] is [REL] of [Y].
toyota partner robot,transmitted signal type,bipedal posture,0,[X] has [REL] as [Y].
bipedal posture,transmitted signal type,toyota partner robot,1,[X] is [REL] of [Y].
Gaia Data Release 1,transmitted signal type,S Band,0,[X] has [REL] as [Y].
S Band,transmitted signal type,Gaia Data Release 1,1,[X] is [REL] of [Y].
ec 2.7.1.91,Wikidata property example,SK1 (protein),0,[X] has [REL] as [Y].
SK1 (protein),Wikidata property example,ec 2.7.1.91,1,[X] is [REL] of [Y].
wikipedia books/sandbox,Wikidata property example,chariots of the gods?,0,[X] has [REL] as [Y].
chariots of the gods?,Wikidata property example,wikipedia books/sandbox,1,[X] is [REL] of [Y].
national park,Wikidata property example,brecon beacons national park authority,0,[X] has [REL] as [Y].
brecon beacons national park authority,Wikidata property example,national park,1,[X] is [REL] of [Y].
ec 2.7.1.91,Wikidata property example,sk 2,0,[X] has [REL] as [Y].
sk 2,Wikidata property example,ec 2.7.1.91,1,[X] is [REL] of [Y].
cantatas,Wikidata property example,song of lamentation,0,[X] has [REL] as [Y].
song of lamentation,Wikidata property example,cantatas,1,[X] is [REL] of [Y].
prohibited area,Wikidata property example,russia (federation). sukhoputnye voĭska. dalʹnevostochnyĭ voennyĭ okrug,0,[X] has [REL] as [Y].
russia (federation). sukhoputnye voĭska. dalʹnevostochnyĭ voennyĭ okrug,Wikidata property example,prohibited area,1,[X] is [REL] of [Y].
General of the army of the United States,next higher rank,general of the armies of the united states,0,[X] has [REL] as [Y].
general of the armies of the united states,next higher rank,General of the army of the United States,1,[X] is [REL] of [Y].
olfactory neurone,postsynaptic connection,Bulbus olfactorius,12,[X] is [REL] based in [Y].
Bulbus olfactorius,postsynaptic connection,olfactory neurone,13,[X] geographically has [REL] [Y].
rod (biology),postsynaptic connection,retina horizontal cell,12,[X] is [REL] based in [Y].
retina horizontal cell,postsynaptic connection,rod (biology),13,[X] geographically has [REL] [Y].
rod (biology),postsynaptic connection,retinal bipolar cells,12,[X] is [REL] based in [Y].
retinal bipolar cells,postsynaptic connection,rod (biology),13,[X] geographically has [REL] [Y].
von economo neurons,postsynaptic connection,Frontal Lobe,12,[X] is [REL] based in [Y].
Frontal Lobe,postsynaptic connection,von economo neurons,13,[X] geographically has [REL] [Y].
Amacrine cells,postsynaptic connection,ganglion cells of retina,12,[X] is [REL] based in [Y].
ganglion cells of retina,postsynaptic connection,Amacrine cells,13,[X] geographically has [REL] [Y].
retinal bipolar cells,postsynaptic connection,ganglion cells of retina,12,[X] is [REL] based in [Y].
ganglion cells of retina,postsynaptic connection,retinal bipolar cells,13,[X] geographically has [REL] [Y].
Jack Dyer Medal,for work,club champion,20,[X] receive the [REL] for [Y].
club champion,for work,Jack Dyer Medal,21,[X] is awarded [REL] to [Y].
kodak wildlife photographer of the year,for work,wildlife photograph,20,[X] receive the [REL] for [Y].
wildlife photograph,for work,kodak wildlife photographer of the year,21,[X] is awarded [REL] to [Y].
Piledriver (processor),socket supported,Socket FM2,0,[X] has [REL] as [Y].
Socket FM2,socket supported,Piledriver (processor),1,[X] is [REL] of [Y].
Piledriver (processor),socket supported,socket fs1,0,[X] has [REL] as [Y].
socket fs1,socket supported,Piledriver (processor),1,[X] is [REL] of [Y].
Piledriver (processor),socket supported,inglés,0,[X] has [REL] as [Y].
inglés,socket supported,Piledriver (processor),1,[X] is [REL] of [Y].
haemophilia A,mode of inheritance,X-linked recessive inheritance,0,[X] has [REL] as [Y].
X-linked recessive inheritance,mode of inheritance,haemophilia A,1,[X] is [REL] of [Y].
Hunter syndrome (MPS II),mode of inheritance,X-linked recessive inheritance,0,[X] has [REL] as [Y].
X-linked recessive inheritance,mode of inheritance,Hunter syndrome (MPS II),1,[X] is [REL] of [Y].
congenital factor ix deficiency,mode of inheritance,X-linked recessive inheritance,0,[X] has [REL] as [Y].
X-linked recessive inheritance,mode of inheritance,congenital factor ix deficiency,1,[X] is [REL] of [Y].
warkany syndrome 1,mode of inheritance,X-linked recessive inheritance,0,[X] has [REL] as [Y].
X-linked recessive inheritance,mode of inheritance,warkany syndrome 1,1,[X] is [REL] of [Y].
